13:46:19.532 INFO  [background-preinit] HV000001: Hibernate Validator 6.2.2.Final - [Version:21]
13:46:19.970 INFO  [restartedMain] Starting CloudFuzeEmailMigration using Java 1.8.0_291 on DESKTOP-ROGPNF7 with PID 14084 (C:\CF_EMAIL_MIGRATION\EmailMigration\target\classes started by BrahmaiahG in C:\CF_EMAIL_MIGRATION\EmailMigration) - [CloudFuzeEmailMigration:55]
13:46:19.972 DEBUG [restartedMain] Running with Spring Boot v2.6.4, Spring v5.3.16 - [CloudFuzeEmailMigration:56]
13:46:19.973 INFO  [restartedMain] The following 4 profiles are active: "move", "picking", "updater", "purge" - [CloudFuzeEmailMigration:646]
13:46:20.312 INFO  [restartedMain] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable - [DevToolsPropertyDefaultsPostProcessor:255]
13:46:20.312 INFO  [restartedMain] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' - [DevToolsPropertyDefaultsPostProcessor:255]
13:46:23.883 INFO  [restartedMain] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. - [RepositoryConfigurationDelegate:132]
13:46:24.015 INFO  [restartedMain] Finished Spring Data repository scanning in 119 ms. Found 2 MongoDB repository interfaces. - [RepositoryConfigurationDelegate:201]
13:46:24.016 INFO  [restartedMain] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. - [RepositoryConfigurationDelegate:132]
13:46:24.085 INFO  [restartedMain] Finished Spring Data repository scanning in 68 ms. Found 3 MongoDB repository interfaces. - [RepositoryConfigurationDelegate:201]
13:46:27.553 INFO  [restartedMain] Tomcat initialized with port(s): 8083 (http) - [TomcatWebServer:108]
13:46:27.822 INFO  [restartedMain] Root WebApplicationContext: initialization completed in 7508 ms - [ServletWebServerApplicationContext:290]
13:46:28.874 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
13:46:29.598 INFO  [cluster-rtt-ClusterId{value='64e46edc4873a82133c5ac05', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:1, serverValue:3952}] to 65.151.177.136:7276 - [connection:71]
13:46:29.598 INFO  [cluster-ClusterId{value='64e46edc4873a82133c5ac05', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:2, serverValue:3951}] to 65.151.177.136:7276 - [connection:71]
13:46:29.599 INFO  [cluster-ClusterId{value='64e46edc4873a82133c5ac05', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=342112400} - [cluster:71]
13:46:30.119 DEBUG [restartedMain] Filter 'JWTAuthorizationFilter' configured for use - [JWTAuthorizationFilter:242]
13:46:30.181 INFO  [restartedMain] LiveReload server is running on port 35729 - [OptionalLiveReloadServer:58]
13:46:30.200 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
13:46:30.741 INFO  [cluster-ClusterId{value='64e46ede4873a82133c5ac06', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:3, serverValue:3954}] to 65.151.177.136:7276 - [connection:71]
13:46:30.741 INFO  [cluster-ClusterId{value='64e46ede4873a82133c5ac06', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=260257701} - [cluster:71]
13:46:30.742 INFO  [cluster-rtt-ClusterId{value='64e46ede4873a82133c5ac06', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:4, serverValue:3953}] to 65.151.177.136:7276 - [connection:71]
13:46:34.327 INFO  [restartedMain] Opened connection [connectionId{localValue:5, serverValue:3955}] to 65.151.177.136:7276 - [connection:71]
